Player,Pos,Age,Tm,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Wesley Matthews\matthwe02,SG,30,DAL,3.6,10,3.3,7.7,3,3.7,0.4,5,5.4,4.4,1.6,0.3,2.1,3.4,20.6,104,110,11.3,0.537,0.564,0.155,1.3,9.7,5.3,12.5,1.7,0.6,10.2,17.5
Luc Mbah a Moute\mbahalu01,SF,30,LAC,1.2,3.1,4.1,7.5,1.6,2.4,1.2,3.5,4.8,1.1,2.3,1,1.3,3.4,13.5,111,109,9,0.566,0.534,0.233,2.1,12.2,7.1,5.1,2.3,1.4,17.1,12.5
Patrick McCaw\mccawpa01,SG,21,GSW,1.8,5.5,2.9,5.5,1.3,1.7,0.9,3.5,4.5,3.4,1.4,0.7,1.6,2.8,12.6,107,108,8.6,0.509,0.374,0.153,2.4,7.4,5.1,11,2.4,0.7,14.7,11.8
C.J. McCollum\mccolcj01,SG,25,POR,3.3,7.8,9,17.8,4.8,5.2,1.1,4.1,5.1,5.1,1.3,0.7,3.1,3.6,32.6,114,113,18.3,0.557,0.322,0.171,2,10.1,6.1,15.4,1.4,0.8,8.5,26.3
T.J. McConnell\mccontj01,PG,24,PHI,0.3,1.3,5.1,10.4,1.7,2.1,0.9,4.8,5.7,12.2,3.1,0.2,3.6,3.2,12.7,107,108,13.1,0.567,0.15,0.105,2.5,12,7.4,26.5,2.5,0.8,22.7,14.6
Doug McDermott\mcderdo01,SF,25,CHI,2.6,7,5.1,10.4,2.8,3.1,0.7,5.4,6.1,2.1,0.5,0.2,1.5,2.7,20.9,111,112,10,0.569,0.421,0.161,2.9,9.4,6.2,6.1,0.4,0.9,9.1,14.5
JaVale McGee\mcgeeja01,C,29,GSW,0,0.2,13.5,20.6,3.6,7.2,6.5,9.4,15.9,1.1,1.2,4.4,2.6,7.1,30.7,120,101,21.3,0.656,0.05,0.248,10.4,15,12.9,7.9,1.5,7.1,11.1,18.6
Ben McLemore\mclembe01,SG,23,SAC,2.8,7.3,4.9,10.7,3,4,0.8,4.7,5.6,2.2,1.2,0.3,2.7,4.6,21.3,99,114,8.4,0.503,0.427,0.152,3,10.3,6.6,7.8,1.6,1.1,12.4,19.8
Jodie Meeks\meeksjo01,SG,29,ORL,3.8,9.2,3.2,8,4.4,5,0.3,4.8,5.2,3,2.3,0.3,2.4,2.8,22,107,111,10.7,0.515,0.545,0.3,1.8,10.5,6.2,7.7,1.4,0.2,8,18.7
Salah Mejri\mejrisa01,C,30,DAL,0.1,0.2,5,7.7,2.1,3.5,5.6,12.1,17.7,0.8,1.8,3.5,2.3,8.7,12.2,121,102,18.2,0.653,0.02,0.49,12.8,26.9,19.6,6.6,1.6,8.7,19,12.3
Khris Middleton\middlkh01,SF,25,MIL,2.6,5.9,6,13.1,4.6,5.3,0.6,6.4,7,5.7,2.3,0.4,3.7,4.5,24.3,106,109,17.1,0.566,0.337,0.256,1.6,15.5,8.6,19.1,1.8,0.4,11.5,24.9
C.J. Miles\milescj01,SF,29,IND,4.8,11.5,3.2,6.7,2.4,2.6,0.8,5.6,6.5,1.4,1.3,0.7,1.1,4.3,23,115,111,13.9,0.549,0.75,0.147,1.5,10,5.8,4.7,1.7,1.7,5.1,22.1
Patty Mills\millspa02,PG,28,SAS,4.3,10.3,3.7,7.7,1.9,2.3,0.7,3.4,4.1,8.1,1.9,0.1,2.9,3.2,22.1,114,107,12.4,0.567,0.606,0.177,1.1,7.4,4.3,16.8,1.5,0.5,14.1,18.2
Paul Millsap\millspa01,PF,31,ATL,1.6,5.1,7.5,15.4,6.5,8.5,2.3,8.9,11.2,5.3,1.9,1.3,3.3,3.9,26.2,108,104,17.4,0.531,0.287,0.322,5.6,17.9,11.7,16,1.8,3.6,12.5,24.1
Nikola Mirotic\mirotni01,PF,25,CHI,3.9,11.3,3.9,7.4,3,3.8,1.8,9.7,11.5,2.3,1.6,1.7,2.4,3.8,22.3,107,105,22.2,0.624,0.533,0.262,3,25.2,13.7,11,1.2,1.8,8.4,25.9
Greg Monroe\monrogr01,C,26,MIL,0,0.1,10.8,20.1,4.9,6.7,4.7,10.2,14.8,5.2,2.6,1.1,3.9,4.7,26.5,111,105,19.9,0.617,0,0.266,11.1,26.6,18.7,17.2,1.4,0.9,18,20.2
E'Twaun Moore\mooreet01,SG,27,NOP,2.1,5.6,5.5,11.1,1.5,2,0.9,3.2,4.1,4.4,1.3,0.9,1.7,3.5,18.8,107,111,12.6,0.612,0.38,0.09,2.5,7.1,4.9,9.7,1.4,0.3,10.5,16.2
Marcus Morris\morrima03,SF,27,DET,2.3,7,6,12.8,2.9,3.6,1.5,5.7,7.2,3.2,1,0.5,1.7,3.3,21.8,105,109,14.6,0.535,0.388,0.263,3.9,19.9,12.1,9.3,1.2,1,10.1,23.5
Markieff Morris\morrima02,PF,27,WAS,1.5,4.1,7,14.4,3.7,4.5,2.2,8,10.2,2.6,1.7,0.9,2.7,5.3,22.1,106,109,12.3,0.561,0.302,0.204,4.9,19.3,12.2,7.5,1.2,1.7,14.3,18.9
Timofey Mozgov\mozgoti01,C,30,LAL,0,0,7.5,14.4,2.8,3.4,4.6,7.1,11.7,1.9,0.7,1.4,3.2,5.9,17.7,106,114,11.1,0.606,0.228,0.316,9.2,18.9,14,3.9,0.8,2.1,24.4,16
Emmanuel Mudiay\mudiaem01,PG,20,DEN,1.9,6.2,5.3,13,4.5,5.8,1,5.2,6.2,7.5,1.4,0.5,4.3,3.3,20.9,98,114,12.2,0.5,0.32,0.252,2.3,11.3,6.8,24.9,1.3,0.5,17.1,25
Shabazz Muhammad\muhamsh01,SF,24,MIN,1.6,4.9,8,15.2,4.9,6.4,2.8,4.5,7.4,1.2,0.7,0.2,1.9,2.9,25.8,114,116,9.5,0.444,0.162,0.265,5.8,11.9,8.8,3.4,0.8,0.6,3,20
